"Program Code","Program Name","College Code"
"BSMktg","Bachelor of Science in Marketing","CBA"
"BSHRM-Ent","Bachelor of Science in Hospitality and Restaurant Management - Entrepreneurship","CBA"
"BSF","Bachelor of Science in Finance","CFM"
"BSBM","Bachelor of Science in Business Management","CBM"
"BSEntrep","Bachelor of Science in Entrepreneurship","CBM"
"BSM","Bachelor of Science in Management","CBM"
"BSCM","Bachelor of Science in Construction Management","CEM"
"BSREM","Bachelor of Science in Real Estate Management","CBM"
"BSIM","Bachelor of Science in Industrial Management","CEM"
"BSLog","Bachelor of Science in Logistics","CSC"
"BSMarEcon","Bachelor of Science in Maritime Economics","CMT"
"BSPE","Bachelor of Science in Physical Education","CPE"
"BSSEd","Bachelor of Science in Secondary Education","CED"
"BSEEEd","Bachelor of Science in Elementary Education","CED"
"BSECEd","Bachelor of Science in Early Childhood Education","CED"
"BSSEng","Bachelor of Science in Special Education","CED"
"BSE","Bachelor of Science in Education","CED"
"BSLS","Bachelor of Science in Library Science","CLS"
"BSCRIM","Bachelor of Science in Criminology","CCJ"
"BSPS","Bachelor of Science in Political Science","CPS"
"BSIR","Bachelor of Science in International Relations","CIR"
"BSDevStud","Bachelor of Science in Development Studies","CDS"
"BSAnthro","Bachelor of Science in Anthropology","CSS"
"BSGeo","Bachelor of Science in Geology","CGE"
"BSPhysics","Bachelor of Science in Physics","CSM"
"BSBiotech","Bachelor of Science in Biotechnology","CBT"
"BSNR","Bachelor of Science in Natural Resources","CFN"
"BSSW","Bachelor of Science in Social Work","CSW"
"BSSC","Bachelor of Science in Sociology","CSS"
"BSPA","Bachelor of Science in Public Administration","CPP"
"BSHR","Bachelor of Science in Human Resources","CBM"
"BSHRD","Bachelor of Science in Human Resource Development","CBM"
"BSAM","Bachelor of Science in Applied Mathematics","CSM"
"BSAS","Bachelor of Science in Actuarial Science","CSM"
"BSFoodTech","Bachelor of Science in Food Technology","CFS"
"BSNutri","Bachelor of Science in Nutrition","CNAH"
"BSForensics","Bachelor of Science in Forensic Science","CCJ"
"BSGeoInf","Bachelor of Science in Geoinformatics","CGE"
"BSRE","Bachelor of Science in Renewable Energy","CRES"
"BSWaterRes","Bachelor of Science in Water Resources Engineering","CES"
"BSURP","Bachelor of Science in Urban and Regional Planning","CST"
"BSES","Bachelor of Science in Environmental Science","CES"
"BSMeteo","Bachelor of Science in Meteorology","CES"
"BSGis","Bachelor of Science in Geographic Information Systems","CGE"
"BSEE","Bachelor of Science in Electrical Engineering","CEE"
"BSRobotics","Bachelor of Science in Robotics Engineering","CSE"
"BSEnergy","Bachelor of Science in Energy Engineering","CSEB"
"BSNano","Bachelor of Science in Nanotechnology","CSIE"
"BSMicroElec","Bachelor of Science in Microelectronics","CSE"
"BSMechatronics","Bachelor of Science in Mechatronics","CSE"
"BSCompTech","Bachelor of Science in Computer Technology","CIT"
"BSGameDev","Bachelor of Science in Game Development","CCS"
"BSESports","Bachelor of Science in Esports and Game Design","CCS"
"BSAnim","Bachelor of Science in Animation","CCIA"
"BSDesign","Bachelor of Science in Industrial Design","CCID"
"BSFashion","Bachelor of Science in Fashion Design","CTD"
"BSMusic","Bachelor of Science in Music","CPAS"
"BSTheater","Bachelor of Science in Theater Arts","CPAS"
"BSFilmProd","Bachelor of Science in Film Production","CCM"
"BSCommArts","Bachelor of Science in Communication Arts","CCM"
"BSHRCom","Bachelor of Science in Human Resource Communication","CPR"
"BSLaw","Bachelor of Science in Law","CLJ"
"BSInternlLaw","Bachelor of Science in International Law","CIR"
"BSTheology","Bachelor of Science in Theology","CTS"
"BSCSA","Bacherfedf","CCS"
"OTEN","bols","CCS"
"BSCSAA","AAAAA","CCS"
